UC_SEQ,MAIN_TITLE,GUGUN_NM,LAT,LNG,PLACE,TITLE,SUBTITLE,ADDR1,ADDR2,CNTCT_TEL,HOMEPAGE_URL,USAGE_DAY_WEEK_AND_TIME,RPRSNTV_MENU,MAIN_IMG_NORMAL,MAIN_IMG_THUMB,ITEMCNTNTS
152,다온 한정식,해운대구,35.158123,129.14853,다온 한정식,다온 한정식,,부산 해운대구 해운대해변로 154 마리나동원8층,,0507-1424-0140,https://www.instagram.com/daon_dining/,11:30-15:00 / 17:30-21:30 (19:30 라스트오더),"다온상(1인), 송아리(1인)
",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219100305084_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219100305084_thumbL,"한옥의 전통적인 모티브를 활용한 인테리어가 인상적인 한정식전문점으로, 토속적인 소품 으로 장식된 별실이 마련되어 있어 격식 있는 모임의 장소로도 많이 찾는 곳. 한약재와 제철 음식 재료를 활용해서 만든 한식 요리를 곱게 담아 코스로 내는 한정식이 인기

"
164,할매재첩국집,사상구,35.193363,128.98607,할매재첩국집,할매재첩국집,,사상구 낙동대로1530번길 20-15,,051-301-7069,,07:00-21:00,"재첩국, 재첩회",https://www.visitbusan.net/uploadImgs/files/cntnts/20230608100341246_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608100341246_thumbL,"낙동강변 재첩요리 먹거리 타운에서 30여 년을 운영하고 있는 재첩국전문점으로, 
비빔그릇에 함께 나온 된장과 재첩을 넣고 
비빔밥을 만들어 재첩국과 함께 먹는 방법이 인기 있다.
"
166,예이제,해운대구,35.16123,129.16664,예이제,예이제,, 부산 해운대구 해운대해변로298번길 29 해운대푸르지오시티 2층,,051-731-1100,,12:00-15:00 / 17:30-21:20,"런치 ₩39,000 / 49,000
예이제 코스 ₩69,000-150,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240419174000260_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419174000260_thumbL,"해운대 해변인근에 위치한 한정식전문점으로, 가족모임이나 손님 대접 등으로 많이 찾는 곳이다. 주인이 직접 고른 제철 식재료와 지인이 운영하는 농장에서 키운 채소를 사용하는이 곳은 먹는 것이 고민스러울 정도로 예쁜 음식이 특징이다.

"
167,합천일류돼지국밥,사상구,35.16191,128.98045,합천일류돼지국밥,합천일류돼지국밥,,사상구 광장로 34,,051-317-2478,,00:00-24:00 (24시간 영업),"고기국밥, 수육백반
",https://www.visitbusan.net/uploadImgs/files/cntnts/20230605170838962_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605170838962_thumbL,"맛있는 식당들이 많기로 유명한 사상시외버스터미널 근처에서도 특히 유명한 돼지국밥 전문점으로, 
24시간 운영되는 이곳은, 관광객들이 많이 찾는 곳이기도 하다. 
마늘다대기가 수북하게 올려져 있는 것이 특징이며, 국밥만큼이나 돼지고기 수육도 유명하다.
"
169,원조석대추어탕,해운대구,35.2195,129.12512,원조석대추어탕,원조석대추어탕,,부산 해운대구 반송로 571번길 5,,051-523-7819,,08:30-21:00,"추어탕, 가오리찜
",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219104936271_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219104936271_thumbL,"입구를 들어서면 가득 쌓인 장작과 아궁이에 올려 진 커다란 무쇠솥이 눈에 들어온다.
유명한 추어탕전문점인 이 곳의 추어탕은, 강한 화력으로 오래 끓여 부드럽고 풍부한 맛이 특징으로, 논고동무침과 가오리찜도 인기 있다.

"
190,할매복국,해운대구,35.160915,129.17152,할매복국,할매복국,,"달맞이길62번길 1
",,"051-742-2790
",,"오픈 07:00 / 마감 21:30
(break time 15:00~17:00) 
(Last order 14:00, 20:30)","복지리, 흰밀복수육
",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219134018171_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219134018171_thumbL,"‘복국촌’으로 알려진 미포 지역의 대표적인 복요리 전문점으로, 부산 향토 음식점 31곳 중하나이다. 복어를 사용한 맑은 탕인 복지리가 대표메뉴이며, 복어죽과 수육, 복불고기와 복어찜 등의 요리도 맛볼 수 있다.

"
198,신창국밥 본점,서구,35.10093,129.02254,신창국밥,신창국밥 본점,,서구 보수대로 53,,051-244-1112,,09:00-21:00,"왕순대국밥 ￦9,000
수육 ￦30,000 / 45,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417173744613_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417173744613_thumbL,"1969년에 국제시장 신창동에서 시작하여 신창국밥이라 이름 지어진 식당으로,
맑은 국물의 돼지국밥이 시작된 곳이다.
신선한 재료와 전통방식인 토렴을 고수하고, 직접 만드는 이북식 순대도 인기 있다.
"
201,평안도족발,해운대구,35.161945,129.16637,평안도족발,평안도족발,,"부산 해운대구 달맞이길 14
",,051-741-6568,,12:00-24:00,"족발, 마늘족발
",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219141936064_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219141936064_thumbL,"30년 넘게 한자리에서 운영해온 전통 있는 족발전문점으로, 이 지역 사람들에게 오래 사랑 받아온 곳이다. 오래된 식당답게 족발 특유의 냄새가 없는 깔끔하고 균형 잡힌 족발의 맛이 특징이며, 냉채족발과 마늘족발 등의 메뉴도 인기 있다.

"
203,한우숯불양곱창,해운대구,35.165897,129.17079,한우숯불양곱창,한우숯불양곱창,,"부산 해운대구 해운대해변로 385
",,051-741-8969,,16:00-22:00,"특양(200g), 전골",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819165333332_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819165333332_thumbL,"해운대 중동역 인근의 양곱창 전문점인 이 곳은 특히 소의 첫 번째 위인 특양 양념구이가 유명하다. 주문과 동시에 특제양념을 발라, 점원이 구워주는 이 곳의 특양 구이는 무척 부드 러우면서도 살짝 탄력 있는 식감이 특징이다.

"
204,쌍둥이돼지국밥 본점,남구,35.13177,129.0923,쌍둥이돼지국밥 본점,쌍둥이돼지국밥 본점,,남구 유엔평화로 35-1,,051-628-7021,,09:00-22:00,"돼지국밥 ￦9,000
수육백반 ￦11,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20230607155733028_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607155733028_thumbL,"식사시간에는 길게 줄을 선 모습을 볼 수 있는 유명한 식당으로,
부산의 수많은 돼지국밥전문점 중에서도 손에 꼽히는 식당 중 한 곳이다.
항정살 수육으로 유명하다.
"
212,베지나랑,수영구,35.156757,129.13426,베지나랑,베지나랑,,수영구 광안해변로370번길 9-32 노블스카이 9층,,0507-1416-5561,,"11:30-15:00 / 17:00-21:00
(14:20, 20:00 라스트 오더)","흑미콩까스, 아보카도 롤",https://www.visitbusan.net/uploadImgs/files/cntnts/20230608142501309_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608142501309_thumbL,"매일 준비하는 깨끗한 채수로 맛을 내고 간단한 샐러드부터 일품요리, 
코스요리까지 다양하게 준비하는 비건 식당이다.
비건 식당 특성 상 외국인 손님들이 많이 찾는다고 한다.
"
234,석화한정식,동구,35.13881,129.06189,석화한정식,석화한정식,,부산광역시 동구 조방로 21,,0507-1496-5005,,"11:30-21:00
(14:00-17:00 브레이크 타임)
(19:00 라스트 오더)","석화 한정식, 석화고향 한정식",https://www.visitbusan.net/uploadImgs/files/cntnts/20220513092736141_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20220513092736141_thumbL,"차려지는 음식 하나하나가 먹기 아까울 정도로 섬세하게 담겨져 나온다. 격식있는 모임의 장소로도 유명한 고급한정식전문점으로, 버섯탕수와 전복초가 나오는 고향한정식과 관자숙 회와 갈비찜 장어구이가 나오는 어머니한정식이 대표메뉴.

"
235,내당,동래구,35.219814,129.08208,내당,내당,, 동래구 금강공원로 20번길 23 호텔농심 별관,,0507-1427-2336,https://www.hotelnongshim.com/kr/index.php?pCode=naedang,"월-금 12:00-21:30
(15:00-17:30 브레이크 타임)
토-일 11:30-21:30
(13:30-14:00 브레이크 타임)
(16:00-17:00 브레이크 타임)
(19:00-19:30 브레이크 타임)","일품한상(평일점심특선) 1인, 연코스(코스메뉴) 1인",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417092928274_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417092928274_thumbL,"정원과 연못이 있는 전통가옥의 형식의 고풍스러운 멋을 갖춘 곳으로 전통적인 맛의 한식을 다채롭게 느낄 수 있다. 각종 연회에 어울리는 품위 있는 곳이다
"
239,봉식당,동래구,35.221752,129.08357,봉식당,봉식당,,부산 동래구 온천장로119번길 26,,051-556-9911,,12:00-15:00 / 17:00-22:00,"S코스 ￦59,000
A코스 ￦47,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417103325942_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417103325942_thumbL,"한식당을 운영했던 어머니와 프렌치셰프인 아들이 함께 운영하는 곳으로 계절재료를 살린코스와 마무리인 보쌈한상이 특징인 곳. 각종 행사장소로도 많이 찾는 곳이다.
"
246,60년 전통 할매국밥,동구,35.141018,129.05618,60년 전통 할매국밥,60년 전통 할매국밥,,동구 중앙대로533번길 4,,051-646-6295,,10:00-19:00,"따로 국밥 ￦7,000
수육백반 ￦9,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240416171620563_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416171620563_thumbL,"60년 전통의 돼지국밥 전문점으로 식사 시간에는 30분 이상을 기다려야 하는 유명한 식당이다. 
대부분의 돼지국밥들과는 다른 맑은 국물이 특징이며, 대충 썬 것 같은 돼지 수육은 
예상외로 부드러운 맛이다. 돼지국물과 고기가 따로 나오는 수육백반이 특히 인기 있다.
"
252,함경면옥,동래구,35.216976,129.08171,함경면옥,함경면옥,,부산광역시 동래구 온천장로 64 1층,,051-556-2020,,11:00 -22:00,"냉면, 왕갈비탕, 왕만두 소",https://www.visitbusan.net/uploadImgs/files/cntnts/20220512102852754_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512102852754_thumbL,"30년 장인의 솜씨로 만든 냉면의 맛은 비교할만한 대상이 드물다. 부산에서 가장 유명한 냉면전문점 중 한 곳으로, 계절을 가리지 않고 항상 많은 사람들이 찾아오는 것이 이곳의 변하지 않는 맛을 증명하고 있다
"
576,왔다식당,영도구,35.094036,129.05635,왔다식당,왔다식당,,영도구 하나길 811,,051-412-2676,,"월~토 08:30-15:00
*라스트오더 14:00","스지수육, 스지 된장전골",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418143145988_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418143145988_thumbL,"일본인 손님들도 자주 찾는 이곳은 30여 년간 운영해온 한우스지요리 전문점으로, 
부드러운 식감의 스지는 반드시 한우만 사용한다고 한다.
대표메뉴인 된장전골을 먹을 때는 반드시 라면사리를 추가하는 것을 추천한다.
"
872,구포촌국수,금정구,35.266575,129.08475,구포촌국수,구포촌국수,,부산 금정구 금샘로 490,,051-515-1751,,10:30-15:00,"국수 ￦6,000 / 7,000 / 8,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240415175213819_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240415175213819_thumbL,"메뉴는 오직 국수 한 가지 남해안 최고급멸치 4~5종을 섞어 12시간 이상 끓인 육수를 사용 하는 이곳은, 2대에 걸쳐 30여 년을 운영 중인 유명한 국수전문점으로 누구에게든 추천할 수 있는 곳이다.
"
877,얼크니손칼국수,기장군,35.255756,129.21614,얼크니손칼국수,얼크니손칼국수,,부산 기장군 기장읍 차성로 417번길 22,,051-721-3487,,"11:20-21:30
(20:30 라스트 오더)","얼크니손칼국수, 만두",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819144753937_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819144753937_thumbL,"간단히 준비된 샤브샤브를 먹은 후 직접 면을 넣고 조리해 먹는 칼국수 가격에 비해 푸짐한 재료들이 특징이다. 먼저 샤브샤브를 먹고 그 국물에 칼국수를 만들어 먹고 나면, 점원이 볶음밥을 만들어 준다.

"
884,탐복,기장군,35.282757,129.25768,탐복,탐복,,부산 기장군 일광읍 문오성길 31,,051-727-4213,,10:30-16:00,"탐복죽, 탐복밥 ￦17,000
탐복구이 ￦38,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240416144911943_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416144911943_thumbL,"예쁜 플레이팅에 담긴 국내산 전복요리, 시그니처인 전복 내장 소스 등 전복요리를 전문으로 한 캐주얼 한식을 선보이는 곳으로 오래된 가옥을 활용한 한국식+캐주얼 인테리어가 돋보인다.
"
886,곤국,남구,35.1477,129.06758,곤국,곤국,,부산 남구 황령대로74번길 51-1 1층,,0507-1305-6586,https://www.instagram.com/gongook_?igsh=MTFjeGtiaWJ1dXRlYw%3D%3D,"월-금 11:30-20:30
(14:30-17:30 브레이크 타임)
(14:00, 20:00 라스트 오더)
토 12:00-19:00
(18:30 라스트 오더)","한우 곰탕, 한우스지수육",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819150211450_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819150211450_thumbL,"곰탕전문식당인 이 곳은 오래 끓여 부드러운 고기와 맛이 진한 국물이 특징으로, 밥을 말아서 나오지 않고, 갓 지은 솥밥이 따로 제공된다.

"
893,해남식당 부산용호동W스퀘어점,남구,35.134193,129.11122,해남식당,해남식당 부산용호동W스퀘어점,,"부산광역시 남구 분포로 145 1072,1073호(용호동, 더블유)",용호동 더블유스퀘어,051-628-2015,,"am 11:30 ~ pm 21:00
브레이크타임 15:00 ~ 17:00
(20:30 라스트오더)","묵은지수육한판, 옛날김치찌개",https://www.visitbusan.net/uploadImgs/files/cntnts/20200818153601185_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818153601185_thumbL,"김치요리전문식당인 이 곳은 배추산지로 유명한 해남의 배추를 사용 하여, 오랜 시간 숙성시킨 묵은지를 사용하는 것이 특징이며, 다양한 김치요리를 먹을 수 있다. 해남묵은지에 대한 높은 자부심을 가지고 있다.

"
899,범일빈대떡,동구,35.139576,129.05621,범일빈대떡,범일빈대떡,,동구 중앙대로 519,,051-646-0081,,15:00-24:00,"빈대떡 ￦10,000
파전 ￦12,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250515155412591_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250515155412591_thumbL,"‘백종원의 3대천왕’이라는 유명 요리 버라이어티쇼에 출연했던 곳으로,
지금은 흔치 않은 빈대떡 전문점이다. 
오래된 감성을 가지고 있는 이곳의 대표메뉴 빈대떡은 100% 녹두를 사용해서 만들며, 
담백하면서도 고소한 매력적인 맛이다.
"
904,금강만두,동래구,35.196102,129.06027,금강만두,금강만두,,부산 동래구 사직북로5번길 11,,051-502-8784,,"11:00-20:30
(20:00 라스트 오더)","충무세트(충무김밥+만두국), 육개장",https://www.visitbusan.net/uploadImgs/files/cntnts/20230607173727769_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607173727769_thumbL,"미식가들만 찾아가던 숨은 가게였지만
현재 사람들이 쉽게 찾을 수 있는 큰 매장으로 옮겨 운영하고 있다.
만두 뿐 아니라 깔끔한 맛의 육개장이 더 유명한 맛집이다.
"
917,석화정,영도구,35.07709,129.07228,석화정,석화정,,영도구 동삼로 42번길 16-11,,070-8913-9989,,09:00-21:00,"굴국밥, 생굴
",https://www.visitbusan.net/uploadImgs/files/cntnts/20230608114815119_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608114815119_thumbL,"20여 년을 운영해 온 굴요리 전문점으로, 제철 생굴, 굴구이, 
굴튀김, 굴파전, 굴김치 등 굴을 이용한 다양한 음식들을 즐길 수 있다. 
특히 대표메뉴인 굴국밥은 신선한 자연산 굴을 사용하여, 깔끔하고 풍부한 맛으로 인기 있다
"
929,연산낙지해물탕,연제구,35.182316,129.10692,연산낙지해물탕,연산낙지해물탕,,"부산 연제구 과정로 121
",,051-758-8838,,"am 11:30 ~ pm 21:30
15:00~17:30 (BREAK TIME)
(14:30 라스트오더)","해물탕, 산낙지전골
",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819103408604_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819103408604_thumbL,"해물탕은 원래 푸짐한 해산물들이 담겨 나오는 음식이지만, 이 곳의 해물탕은 음식을 잘모르는 사람도 싱싱하다는 것을 알 수 있는 해산물들이 뚜껑이 닫히지 않을 정도로 담겨 나온다. 해물탕이 익을 때쯤 살아있는 낙지를 손질해 넣어주는 것이 특징이다.

"
933,옻바다전복삼계탕,연제구,35.18473,129.08128,옻바다전복삼계탕,옻바다전복삼계탕,,"부산 연제구 월드컵대로 119번길 16
",,"051-862-3307
",http://cityfood.co.kr/file2/h_0112/55725/index.html,"am 10:00 ~ pm 22:00
","옻삼계탕, 삼계탕
",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819105118416_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819105118416_thumbL,"연산동 중심가골목에 위치한 삼계탕전문점으로, 대표적인 보양음식인 옻나무삼계탕에 전복을 추가하여 먹을 수 있는 것이 특징이다. 식전주로 옻술이 제공되는 이 곳은 TV프로그램에도 소개 된 유명한 식당이다.

"
942,다리집 본점,수영구,35.146637,129.11076,다리집,다리집 본점,,"수영구 남천바다로10번길 70 101호
",,051-625-0130,,11:30–21:00 (20:30 라스트오더),"떡볶이, A세트",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819112147736_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819112147736_thumbL,"부산에서 가장 유명한 떡볶이 전문점 중 한 곳으로, 포장마차 장사를 하던 시절에
손님들의 다리만 밖에서 보인다하여 다리집이라 불리게 된 이곳은
한 개만 먹어도 배가 부를 것 같은, 큼직한 떡볶이와 오징어튀김이 유명하다.
"
950,광안리 언양불고기 부산집,수영구,35.1479,129.11357,광안리 언양불고기부산집,광안리 언양불고기부산집,,"부산 수영구 남천바다로 32
",,051-754-1004,,11:00-21:30,"언양불고기(200g) ￦35,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418102343022_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418102343022_thumbL,"30여 년 전통의 광안리 언양불고기집으로, 엄선된 100% 한우암소와 직접 재배한 유기농 농작물을 사용한다. 큰 설명이 필요치 않은 식당 중 한 곳이다.
"
953,식당 3선 덕천점,북구,35.21927,129.00708,식당 3선 덕천점,식당 3선 덕천점,,부산 북구 금곡대로 112,,051-333-0050,http://www.3sun.kr,"am 11:00 ~ pm 22:00
(21:00 라스트오더)"," 양념돼지갈비(330g), 고추장돼지갈비(330g)",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154140644_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154140644_thumbL,"숯불구이, 파삼겹구이, 밀면 등을 맛볼 수 있는 식당인 이곳은 나이와 취향에 관계없이 즐길 수있는 대중적인 맛이 특징으로, 넓은 공간을 가지고 있어 가족외식장소로 인기 있다. 메인요리인 숯불구이는 조리되어 제공되어서 먹기 편하다.

"
958,함경면옥 덕천점,북구,35.21178,129.00423,함경면옥 덕천점,함경면옥 덕천점,,부산 북구 금곡대로 21,,0507-1440-5034,,"11:00-21:00
(20:30 라스트 오더)","물냉면, 회비빔면",https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091029413_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091029413_thumbL,"22년의 전통을 가지고 있는 함흥냉면 전문점으로, 메뉴에 들어가는 모든 재료들을 직접 만든다. 고구마 전분 특유의 탄력과 쫄깃함을 가진 함흥식 냉면 사리가 특징이며, 진한 육수가 맛있는 물냉면과 숙성된 가오리 회가 올라가는 회비빔면이 인기메뉴이다.
"
961,몽실종가돼지국밥 감천문화마을 본점,서구,35.10019,129.01718,몽실종가돼지국밥 감천문화마을 본점,몽실종가돼지국밥 감천문화마을 본점,,"서구 까치고개로 197번길 3, 1층",,051-256-0133,,09:00-20:00,"돼지국밥 ￦9,000
수육 ￦24,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417173451717_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417173451717_thumbL,"감천문화마을 근처에 있는 돼지국밥전문점으로, 청결한 실내와 친절한 점원들이 인상적이다.
사골뼈를 24시간 이상 푹 고아 만든 국물이 유명하고, 국밥에 들어가는 고기양과 고기 종류를 
선택할 수 있는 것이 특징이다.
"
